date,route,from,to,dep_time,train,platform,dep_delay_min,arr_delay_min,arr_delay_sec,canceled
2026-06-22,diest-halle,Diest,Halle,05:28,IC 1727,1,0,0,0,0
2026-06-22,diest-halle,Diest,Halle,06:28,IC 1728,1,1,0,0,0
2026-06-22,diest-halle,Diest,Halle,07:28,IC 1729,1,0,8,480,0
2026-06-22,diest-halle,Diest,Halle,08:28,IC 1730,1,0,2,120,0
2026-06-22,diest-halle,Diest,Halle,09:28,IC 1731,1,0,3,180,0
2026-06-22,diest-halle,Diest,Halle,10:28,IC 1732,1,2,2,120,0
2026-06-22,diest-halle,Diest,Halle,11:28,IC 1733,1,0,-1,-60,0
2026-06-22,diest-halle,Diest,Halle,12:28,IC 1734,1,0,1,60,0
2026-06-22,diest-halle,Diest,Halle,13:28,IC 1735,1,0,0,0,0
2026-06-22,diest-halle,Diest,Halle,14:28,IC 1736,1,0,0,0,0
2026-06-22,diest-halle,Diest,Halle,15:28,IC 1737,1,0,28,1680,0
2026-06-22,halle-diest,Halle,Diest,05:26,IC 1704,4,1,-1,-60,0
2026-06-22,halle-diest,Halle,Diest,06:26,IC 1705,4,1,4,240,0
2026-06-22,halle-diest,Halle,Diest,07:26,IC 1706,4,3,3,180,0
2026-06-22,halle-diest,Halle,Diest,08:26,IC 1707,4,2,8,480,0
2026-06-22,halle-diest,Halle,Diest,09:26,IC 1708,4,0,11,660,0
2026-06-22,halle-diest,Halle,Diest,10:26,IC 1709,4,0,-1,-60,0
2026-06-22,halle-diest,Halle,Diest,11:26,IC 1710,4,1,-2,-120,0
2026-06-22,halle-diest,Halle,Diest,12:26,IC 1711,4,0,-1,-60,0
2026-06-22,halle-diest,Halle,Diest,13:26,IC 1712,4,2,8,480,0
2026-06-22,halle-diest,Halle,Diest,14:26,IC 1713,4,1,12,720,0
2026-06-22,halle-diest,Halle,Diest,15:26,IC 1714,4,1,0,0,0
2026-06-22,diest-brussels-north,Diest,Brussels-North,05:28,IC 1727,1,0,-4,-240,0
2026-06-22,diest-brussels-north,Diest,Brussels-North,06:28,IC 1728,1,1,-1,-60,0
2026-06-22,diest-brussels-north,Diest,Brussels-North,07:08,P 7305,1,2,1,60,0
2026-06-22,diest-brussels-north,Diest,Brussels-North,07:28,IC 1729,1,0,9,540,0
2026-06-22,diest-brussels-north,Diest,Brussels-North,08:08,P 7306,1,1,8,480,0
2026-06-22,diest-brussels-north,Diest,Brussels-North,08:28,IC 1730,1,0,2,120,0
2026-06-22,diest-brussels-north,Diest,Brussels-North,09:28,IC 1731,1,0,5,300,0
2026-06-22,diest-brussels-north,Diest,Brussels-North,10:28,IC 1732,1,2,1,60,0
2026-06-22,diest-brussels-north,Diest,Brussels-North,11:28,IC 1733,1,0,-2,-120,0
2026-06-22,diest-brussels-north,Diest,Brussels-North,12:28,IC 1734,1,0,0,0,0
2026-06-22,diest-brussels-north,Diest,Brussels-North,13:28,IC 1735,1,0,-1,-60,0
2026-06-22,diest-brussels-north,Diest,Brussels-North,14:28,IC 1736,1,0,0,0,0
2026-06-22,diest-brussels-north,Diest,Brussels-North,15:28,IC 1737,1,0,32,1920,0
2026-06-22,brussels-north-diest,Brussels-North,Diest,05:52,IC 1704,6,0,-1,-60,0
2026-06-22,brussels-north-diest,Brussels-North,Diest,06:52,IC 1705,7,2,4,240,0
2026-06-22,brussels-north-diest,Brussels-North,Diest,07:52,IC 1706,7,8,3,180,0
2026-06-22,brussels-north-diest,Brussels-North,Diest,08:52,IC 1707,10,10,8,480,0
2026-06-22,brussels-north-diest,Brussels-North,Diest,09:52,IC 1708,5,8,11,660,0
2026-06-22,brussels-north-diest,Brussels-North,Diest,10:52,IC 1709,6,0,-1,-60,0
2026-06-22,brussels-north-diest,Brussels-North,Diest,11:52,IC 1710,7,2,-2,-120,0
2026-06-22,brussels-north-diest,Brussels-North,Diest,12:52,IC 1711,6,0,-1,-60,0
2026-06-22,brussels-north-diest,Brussels-North,Diest,13:52,IC 1712,7,0,8,480,0
2026-06-22,brussels-north-diest,Brussels-North,Diest,14:52,IC 1713,6,0,12,720,0
2026-06-22,brussels-north-diest,Brussels-North,Diest,15:52,IC 1714,6,1,0,0,0
2026-06-22,diest-brussels-central,Diest,Brussels-Central,05:28,IC 1727,1,0,0,0,0
2026-06-22,diest-brussels-central,Diest,Brussels-Central,06:28,IC 1728,1,1,0,0,0
2026-06-22,diest-brussels-central,Diest,Brussels-Central,07:08,P 7305,1,2,1,60,0
2026-06-22,diest-brussels-central,Diest,Brussels-Central,07:28,IC 1729,1,0,9,540,0
2026-06-22,diest-brussels-central,Diest,Brussels-Central,08:08,P 7306,1,1,9,540,0
2026-06-22,diest-brussels-central,Diest,Brussels-Central,08:28,IC 1730,1,0,5,300,0
2026-06-22,diest-brussels-central,Diest,Brussels-Central,09:28,IC 1731,1,0,5,300,0
2026-06-22,diest-brussels-central,Diest,Brussels-Central,10:28,IC 1732,1,2,3,180,0
2026-06-22,diest-brussels-central,Diest,Brussels-Central,11:28,IC 1733,1,0,0,0,0
2026-06-22,diest-brussels-central,Diest,Brussels-Central,12:28,IC 1734,1,0,0,0,0
2026-06-22,diest-brussels-central,Diest,Brussels-Central,13:28,IC 1735,1,0,2,120,0
