date,origin,dest,train,dep_time,dep_delay_min,arr_delay_min,arr_delay_sec,canceled
2026-06-22,Diest,Halle,IC 1727,05:28,0,0,0,0
2026-06-22,Diest,Halle,IC 1728,06:28,1,0,0,0
2026-06-22,Diest,Halle,IC 1729,07:28,0,8,480,0
2026-06-22,Diest,Halle,IC 1730,08:28,0,2,120,0
2026-06-22,Diest,Halle,IC 1732,10:28,2,2,120,0
2026-06-22,Diest,Halle,IC 1733,11:28,0,-1,-60,0
2026-06-22,Diest,Halle,IC 1734,12:28,0,1,60,0
2026-06-22,Diest,Halle,IC 1735,13:28,0,0,0,0
2026-06-22,Diest,Halle,IC 1736,14:28,0,0,0,0
2026-06-22,Diest,Halle,IC 1737,15:28,0,52,3120,0
2026-06-22,Diest,Halle,IC 1738,16:28,0,0,0,0
2026-06-22,Halle,Diest,IC 1704,05:26,1,-1,-60,0
2026-06-22,Halle,Diest,IC 1705,06:26,1,4,240,0
2026-06-22,Halle,Diest,IC 1706,07:26,3,3,180,0
2026-06-22,Halle,Diest,IC 1707,08:26,2,8,480,0
2026-06-22,Halle,Diest,IC 1708,09:26,0,11,660,0
2026-06-22,Halle,Diest,IC 1709,10:26,0,-1,-60,0
2026-06-22,Halle,Diest,IC 1710,11:26,1,-2,-120,0
2026-06-22,Halle,Diest,IC 1711,12:26,0,-1,-60,0
2026-06-22,Halle,Diest,IC 1712,13:26,2,8,480,0
2026-06-22,Halle,Diest,IC 1713,14:26,1,12,720,0
2026-06-22,Halle,Diest,IC 1714,15:26,1,0,0,0
2026-06-22,Halle,Diest,IC 1715,16:26,0,6,360,0
2026-08-14,Brussels-South/Brussels-Midi,Leuven,IC 522,00:20,1,0,0,0
2026-08-14,Brussels-South/Brussels-Midi,Leuven,IC 1505,06:36,0,0,0,0
2026-08-14,Brussels-South/Brussels-Midi,Leuven,IC 1506,07:36,0,-1,-60,0
2026-08-14,Brussels-South/Brussels-Midi,Leuven,IC 1507,08:36,1,2,120,0
2026-08-14,Brussels-South/Brussels-Midi,Leuven,IC 1508,09:36,0,0,0,0
2026-08-14,Brussels-South/Brussels-Midi,Leuven,IC 1509,10:36,2,0,0,0
2026-08-14,Brussels-South/Brussels-Midi,Leuven,IC 1510,11:36,0,-1,-60,0
2026-08-14,Brussels-South/Brussels-Midi,Leuven,IC 1511,12:32,1,1,60,0
2026-08-14,Brussels-South/Brussels-Midi,Leuven,IC 1512,13:36,1,-1,-60,0
